Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
Military - NAVY,Fleet Readiness Executive Brief (Conservative),#0B1220 #FFFFFF #CBD5E1 #1E3A8A #16A34A #DC2626,Condensed headlines; clean labels; numeric tables,"Minimal arrows, status badges, checklist (generic)",KPI strip; readiness pillars; notes footer,Conservative bars/lines; readiness donuts; tables,Clean white with thin rules,Decorative textures; unofficial logos,"Fleet readiness executive infographic, conservative KPI strip and readiness pillars, clean tables and charts, restrained palette, minimal icons, crisp vector, high readability, no official markings."
Military - SOCOM,SOCOM Night Ops Brief (NVG + Topo),#05070A #111827 #22C55E #EF4444 #94A3B8,Condensed sans + mono for coords/comms,Thin-line tactical glyphs; reticles; waypoints,OPORD sections; left timing rail,Timeline bands; simple risk matrix; route inset,Subtle topo contours + faint reticles,Official insignia; classification banners; weapon glamour,"SOCOM night ops briefing slide, dark NVG aesthetic with topo contours, OPORD layout, mono coordinate callouts, tactical icons, timeline and risk matrix, crisp vector, no official insignia."
Military - SOCOM,AAR Lessons Learned Storyboard (After Action),#FFF7ED #111827 #6B7280 #F59E0B #C2410C,Sans + typewriter-style note accents,"Replay arrow, lightbulb, checklist, tag cards","Timeline storyboard with snapshot placeholders, lessons cards, actions footer","Action tracker table, issue trend, timeline",Paper grain with subtle stamp marks,"Blame language, real operation details, official insignia","“SOCOM AAR storyboard infographic slide, timeline with image placeholders and lessons cards, typewriter note accents, action tracker and issue trend charts, paper grain with subtle stamp marks, crisp readable, neutral tone, no real operation details or insignia.”"
Military - SOCOM,Partner Force TAA Dashboard (Readiness and Advising),#0A2540 #F8FAFC #22C55E #F59E0B #22D3EE,"Modern sans, metric-forward","Handshake, instructor badge, checklist, progress bars","Partner unit cards, training pipeline lane, issues column, next actions footer","Readiness scorecards, completion bars, trend lines",Clean white with thin rules,"Real partner names, political messaging, official logos","“SOCOM partner-force advising infographic slide, partner cards with training pipeline lane and issues column, clean typography, handshake and checklist icons, readiness scorecards and completion trends, minimal ruled background, crisp vector, no real partner names or official logos.”"
Military - SOCOM,Sustainment and Resupply Tracker (Logistics Board),#0F172A #F8FAFC #22C55E #F59E0B #94A3B8,"Ops-friendly sans, table-ready","Crate, fuel drop, wrench, warehouse rack","Supply lanes, backlog column, priority strip, owners row","Fill-rate bars, days-of-supply trend, backlog line",Subtle stencil texture at low opacity,"Real inventories, base locations, convoy tactics, vendor logos","“SOCOM sustainment tracker infographic slide, supply lanes with priority strip and backlog column, crate and fuel icons, fill-rate bars and days-of-supply trend with backlog line, subtle stencil background, crisp readable, no real inventories, locations, or tactics.”"
Military - SOCOM,Maritime SOF Littoral Brief (Nautical Chart Style),#0A2540 #2DD4BF #D6B98C #F8F4EA #EF4444,"Nautical labeling style, clean serif headers","Compass rose, boat silhouette (generic), buoy, anchor","Map inset with route lines, objective cards, timing strip","Timeline band, risk matrix, simple bars",Chart paper with lat-long grid,"Real nautical charts, real routes, boarding tactics","“SOCOM maritime littoral brief infographic slide, nautical chart-paper background with lat-long grid, map inset and timing strip, compass and buoy icons, clean timeline and risk matrix, restrained red highlights, crisp readable, avoid real routes and tactics.”"
Military - SOCOM,Medical Support and CASEVAC Flow (Process Only),#FFFFFF #111827 #2563EB #0F766E #F59E0B #E5E7EB,"Humanist sans, calm hierarchy","Medical plus (generic), stretcher, helicopter (generic), checklist","Care pathway flow, capacity tiles, comm notes card","Time-to-care bars, capacity tiles, trend line",Clean white with subtle gradient,"Medical advice, real patient data, protected medical symbols as logos","“SOCOM medical support infographic slide, process-only care pathway flow with capacity tiles and comm notes card, calm clinical palette, clean charts for time-to-care and capacity, subtle light gradient background, crisp readable, no medical advice or real data.”"
Military - SOCOM,SOTF Command SITREP Board (Ops Overview),#05070A #111827 #22C55E #F59E0B #EF4444 #F8FAFC,"Condensed headers, mono for timestamps and IDs","Map pin, clock, checklist, shield, task tags","SITREP blocks: Situation, Mission, Current Ops, Next 24h, Constraints, Owners","Timeline bands, status matrix, task burndown, KPI tiles",Dark topo lines at low opacity + subtle scan texture,"Unit patches, official seals, real locations, real tasking details, classified banners","“SOCOM SOTF SITREP infographic slide, dark topo background with subtle scan texture, condensed briefing layout with Situation Mission Current Ops Next 24h Constraints Owners, mono timestamps, tactical glyph icons, timeline bands and status matrix with KPI tiles, crisp vector, high readability, no official emblems or real locations.”"
Military - SOCOM,"Spectrum Coordination Matrix (EW-lite, Generic)",#05070A #111827 #22D3EE #8B5CF6 #F59E0B #94A3B8,"Mono-heavy, compact labels","Waveform, antenna, spectrum bars, warning tags","Spectrum bands row, coordination table, exceptions lane","Occupancy bars, deconfliction timeline, status tiles",Dark RF trace lines at low opacity,"Real frequencies, jamming techniques, classified markings","“SOCOM spectrum coordination infographic slide, mono-heavy console layout with spectrum bands and coordination table, cyan and violet accents with amber warnings, occupancy bars and deconfliction timeline, subtle RF trace background, crisp vector, exclude real frequencies and tactics.”"
Military - SOCOM,ISR Coverage and Collection Plan (Unclassified),#0B1220 #111827 #38BDF8 #22D3EE #A3A3A3,"Condensed headers, numeric tiles","Satellite, drone (generic), camera frame, grid overlay","Coverage grid center, asset schedule strip, gaps list column","Coverage heatmap, tasking bars, timeline band",Subtle pixel grid + light noise,"Real imagery, targeting guidance, real tasking identifiers","“SOCOM ISR coverage infographic slide, coverage grid center with asset schedule and gaps column, condensed typography, satellite and camera icons, coverage heatmap and tasking bars with timeline, subtle pixel-grid background, crisp readable, no real imagery or targeting details.”"
Military - SOCOM,"UAS Overwatch Planning (Generic, Unclassified)",#0F172A #F8FAFC #22C55E #60A5FA #F59E0B,"Map-label sans, mission cards","Drone silhouette (generic), waypoint, camera, battery","Map center with geofence placeholder, payload cards, battery strip","Coverage grid, battery timeline, mission success bars",Subtle topo micro-lines,"Weaponization, real surveillance locations, targeting guidance","“SOCOM UAS planning infographic slide, map center with geofence placeholder and waypoint route, payload cards and battery strip, coverage grid and success bars, slate palette with green/blue accents and amber warnings, subtle topo background, crisp readable, no weaponization or real locations.”"
Military - SOCOM,Humanitarian Assistance Support Board (SOF Enablement),#FFFBF2 #111827 #0F766E #60A5FA #F59E0B #22C55E,"Clear sans, calm operations tone","Hands, water drop, shelter, medical plus (generic), helicopter (generic)","Needs column, resources tiles, partners row, timeline strip","Distribution bars, capacity tiles, daily trend line",Soft paper texture with light contour lines,"Political messaging, official seals, real crisis identifiers","“SOCOM humanitarian support infographic slide, calm ops board with needs column, resources tiles, partners row and timeline strip, clean typography, aid and shelter icons, distribution bars and capacity tiles with daily trend, soft paper-contour background, crisp readable, no seals or real crisis identifiers.”"
Military - SOCOM,"SOF Aviation Support Tasking (AMO-style, Generic)",#0B1220 #F8FAFC #60A5FA #F59E0B #A3A3A3,"Condensed ops sans, big time blocks","Rotorcraft silhouette (generic), runway line, clock, wrench","Sortie schedule table, crew status cards, maintenance strip","Sortie count bars, availability tiles, delay Pareto",Subtle runway-line motif,"Tail numbers, call signs, real schedules, unit identifiers","“SOCOM aviation support infographic slide, generic AMO-style schedule table with crew status cards and maintenance strip, big time blocks, sortie bars and availability tiles with delay Pareto, subtle runway motif background, crisp readable, no tail numbers, call signs, or real schedules.”"
Military - SOCOM,Tactical Cyber Support Cell (Defensive Posture),#05070A #111827 #3B82F6 #22D3EE #22C55E #EF4444,"Condensed headers, mono telemetry placeholders","Shield, nodes, firewall bricks, alert tags","Support request queue, capability cards, status KPIs, timeline footer","Incident trend, MTTR line, severity bars, heatmap",Dark circuit grid,"Hacking instructions, exploit steps, real org identifiers","“SOCOM cyber support infographic slide, defensive support queue with capability cards and KPI strip, mono placeholders, incident trend and MTTR with severity bars and heatmap, cyan/blue accents with status colors, circuit-grid background, crisp readable, no exploit steps or real identifiers.”"
Military - SOCOM,"Urban Site Survey Brief (Non-Tactical, Safety)",#111827 #F8FAFC #22D3EE #F59E0B #94A3B8,"Clean sans, annotation-friendly","Building blocks, camera, map pin, notes tag","Site map placeholder, access points list, safety notes, comm points (generic)","Simple count bars, timeline strip, status tiles",Subtle concrete grain + light grid,"Breach guidance, room-clearing instructions, real floorplans","“SOCOM urban site survey infographic slide, non-tactical site map placeholder with access list and safety notes, clean typography, building and camera icons, simple bars and timeline with status tiles, subtle concrete-grid background, crisp readable, no real floorplans or tactical instructions.”"
Military - SOCOM,Operator Readiness and Training Pipeline (High-Level),#111827 #F8FAFC #2563EB #22C55E #F59E0B,"Executive-technical sans, numeric focus","Person badge, stopwatch, checklist, skills icons","Pipeline stages, readiness tiers, unit summary cards","Completion bars, readiness trend, cohort tiles",Clean white with thin rules,"Selection criteria details, real course names, unit identifiers","“SOCOM readiness pipeline infographic slide, high-level training stages with readiness tiers and summary cards, clean typography, completion bars and readiness trends, subtle ruled background, crisp readable, avoid selection criteria details and real unit identifiers.”"
Military - SOCOM,Theater Campaign Lines of Effort Map (Strategic SOF),#0B1220 #FFF7ED #14532D #60A5FA #C2410C,"Clean sans, strong hierarchy","Flag marker, arrows, handshake, region blocks","Large map inset, 3–5 LOE columns, objectives row, decision box","LOE progress bars, milestone timeline, risk matrix",Warm map paper with faint contours,"Real country targeting, propaganda tone, official insignia","“SOCOM theater campaign infographic slide, map-first layout with LOE columns and objectives row, clean typography, partner and LOE icons, progress bars and milestone timeline with risk matrix, subtle contour paper background, crisp readable, avoid real targeting details and official insignia.”"
Military - SOCOM,Communications PACE Ladder Card (No Frequencies),#0B1220 #F8FAFC #38BDF8 #22C55E #F59E0B,Clean sans + mono placeholders,"Radio, satellite link, chat bubble, fallback arrows","PACE ladder table, comm windows cards, escalation strip","Simple status tiles, checklist blocks","Subtle grid, minimal","Call signs, crypto keys, freqs, real procedures","“SOCOM PACE comms ladder infographic slide, PACE table with comm window cards and escalation strip, mono placeholders, clean icons, simple status tiles, subtle grid background, crisp readable, no call signs, keys, or frequencies.”"
Military - SOCOM,"Mission Rehearsal Sand Table (Terrain Model, Generic)",#111827 #E7D3B0 #7C4A2D #14532D #60A5FA,"Technical sans, map labels","Contour lines, waypoint dots, phase markers, compass","Central 3D terrain placeholder, phase panels on sides, assumptions box","Phase timeline, elevation profile, risk matrix",Subtle sand texture + faint topo,"Real coordinates, real objective layouts, instructional tactics","“SOCOM mission rehearsal sand-table infographic slide, central terrain model placeholder with topo overlays, phase panels and assumptions box, technical labels, phase timeline and elevation profile with risk matrix, subtle sand texture background, crisp readable, avoid real coordinates and tactical instructions.”"
Military - SOCOM,Capability Modernization Portfolio (Roadmap View),#0A2540 #F8FAFC #334155 #38BDF8 #D4AF37,"Executive sans, portfolio-friendly","Gear, chip, radar arc (generic), roadmap flags","Portfolio matrix, roadmap strip, investment buckets, risks column","Roadmap timeline, allocation donut, milestone bars",Clean white with faint diagonal watermark,"Specific weapon systems, contractor logos, official seals","“SOCOM capability portfolio infographic slide, portfolio matrix with roadmap strip and investment buckets, navy and steel palette with restrained gold accent, clean charts for allocation and milestones, subtle watermark background, crisp readable, avoid specific weapon systems and logos.”"
Military - SOCOM,Operational Risk Assessment Cards (ORM),#FFFFFF #111827 #22C55E #F59E0B #EF4444 #CBD5E1,"Formal sans, concise labels","Hazard triangle, shield, control tags","Top risks tiles, mitigations lane, triggers list, decision box","Risk matrix, risk trend line, control coverage bars",Thin rules on clean white,"Alarmist styling, tactical instructions, real sensitive details","“SOCOM operational risk assessment infographic slide, risk tiles with mitigations lane and triggers list, clean typography, risk matrix and trend line with control coverage bars, restrained red/amber/green accents, thin-rule background, crisp readable, no tactical guidance.”"
Military - SOCOM,Interagency Fusion Cell Dossier (Link Analysis),#111827 #F8FAFC #94A3B8 #8B5CF6 #EF4444,"Serif headers + clean labels, mono for reference IDs","Dossier tabs, network nodes, tags, redaction bars","Profile cards, link graph center, timeline strip, key judgments panel","Link graph, matrix table, trend line, heatmap",Light paper texture with subtle redaction overlays,"Real actor names in sensitive contexts, real IOCs, agency seals","“Interagency fusion dossier infographic slide, profile cards and link-analysis graph center with timeline strip, mono reference IDs, subtle redaction styling, violet accents with restrained red alerts, clean charts and matrices, crisp readable, no agency seals or real identifiers.”"
Military - SPACE,Space Domain Awareness (Sensors + Tracks),#030712 #1F2537 #8B5CF6 #29AAE1 #F8FAFC #94A3B8,Sleek condensed sans; mono track IDs/timestamps,"Sensor cones, orbit rings, ground station, track dots, warning markers (generic)",Track map main; sensor network side panel; event timeline strip; status tiles,Track density heatmap; anomaly timeline; status sparklines; coverage wedges,Starfield speckle + faint grid; minimal glow,Official delta marks; real sat identifiers; classified styling,"Space domain awareness slide, deep space grid, sensor network and track map panels, condensed telemetry labels, coverage wedges and anomaly timelines, violet/cyan accents, crisp technical UI, no official insignia."
Military - SPACE,US Space Force Orbital Command (Trajectory),#030712 #F8FAFC #8B5CF6 #38BDF8 #F59E0B,Sleek condensed sans; telemetry numerals,"Orbit rings, satellite glyphs (generic), ground station",Trajectory plot main; telemetry cards; timeline strip,Orbit arcs; altitude-time lines; status sparklines,Subtle starfield speckle + faint grid,Official delta marks; real satellite identifiers; classified styling,"Space Force orbital command infographic, trajectory plot and telemetry cards, orbit arcs, condensed telemetry typography, starfield grid background, crisp vector, no official insignia."
Military - SPACE,Launch Range Countdown Board (Timeline First),#030712 #F8FAFC #38BDF8 #8B5CF6 #F59E0B #94A3B8,Condensed headers; big countdown numerals,"Rocket silhouette (generic), checklist, clock, weather, go/no-go tags",Countdown timeline lanes; go/no-go tiles; weather strip,Timeline; readiness bars; simple risk matrix,Dark gradient + subtle countdown tick lines,Official mission patches; official launch branding mimicry,"Launch countdown infographic, timeline lanes and go/no-go tiles, big countdown numerals, weather strip, readiness bars and risk matrix, subtle tick background, crisp vector, minimal text, no official logos."
Military - SPACE,Satellite Comms NOC (Link + Uptime),#0B1220 #111827 #29AAE1 #22C55E #F59E0B #F8FAFC,UI sans; mono frequencies/link IDs,"Antenna, signal bars, satellite glyph, node links",NOC tiles; link status table; incident feed column,Uptime trend lines; latency bars; link budget mini-cards,Dark grid + subtle circuit traces,Excessive glow; real system identifiers,"Satellite communications NOC infographic, dark UI tiles with link status tables, mono frequency labels, uptime and latency charts, cyan accents, subtle circuit grid, crisp vector, minimal text."
Military - SPACE,Conjunction Assessment Brief (Orbital Safety),#030712 #1F2937 #29AAE1 #F8FAFC #EF4444 #94A3B8,Sleek sans; mono object IDs/timestamps,"Orbit arcs, warning triangle, track dots, covariance ellipse (abstract)",Primary conjunction panel; uncertainty callouts; decision timeline,Miss distance timeline; probability bars; uncertainty visuals,Faint orbit trails + grid,Real object identifiers; classified banners,"Conjunction assessment infographic, orbital safety layout with uncertainty callouts, miss-distance timeline and probability bars, mono IDs, faint orbit-trail grid, crisp vector, minimal text, no real object identifiers."
Military - SPACE,Space Domain Awareness Track Map (Sensors + Tracks),#030712 #1F2537 #8B5CF6 #29AAE1 #F8FAFC #94A3B8,Sleek condensed sans; mono track IDs,"Orbit rings, sensor cones, track dots, ground station (generic)",Track map main; sensor panel; event timeline strip,Density heatmap; anomaly timeline; coverage wedges,Starfield speckle + faint grid,Official delta marks; real satellite identifiers,"Space domain awareness track map infographic, deep space grid, sensor network and track panels, mono track IDs, density heatmaps and anomaly timelines, violet/cyan accents, crisp vector, minimal text, no official insignia."
Military - SPACE,"Space Acquisition Program Brief (Executive, Technical)",#1F2537 #442C81 #FFFFFF #29AAE1 #E9ECEF,Condensed headlines; clean labels; mono contract line items,"Roadmap, milestone flag, system blocks, checklist (generic)",KPI strip; program pillars; schedule strip; risks column,Schedule Gantt; cost bars; simple risk heatmap,White with thin rules in #E9ECEF,Official seals; government form mimicry; extra colors,"Space acquisition program infographic, strict palette only (#1F2537 #442C81 #FFFFFF #29AAE1 #E9ECEF), program pillars with KPI strip, gantt and cost charts, risks column, clean typography, crisp vector, minimal text, no official markings."
Military - T & E,Acquisition Milestone Map (A/B/C) Neutral,#0A2540 #F8FAFC #334155 #38BDF8 #D4AF37,"Executive sans, governance-friendly","Gate flags, calendar, checklist, document tabs","Milestone map across slide, decision points, deliverables lane","Timeline, deliverables bars, risk matrix",Clean white with faint watermark,"Claims of official policy, seals, specific program data","“Military acquisition milestone slide, neutral milestone map with decision points and deliverables lane, executive typography, timeline and deliverables bars with simple risk matrix, navy/steel palette with restrained gold, crisp readable, no official policy claims or seals.”"
Military - T & E,Reliability Growth Curve (RGT) Report,#FFFFFF #111827 #1D4ED8 #16A34A #F59E0B,"Formal sans, figure-caption style","Trend arrow, wrench, stopwatch, shield","Single figure hero + findings cards, actions footer","Reliability growth curve, MTBF/MTTR bars, confidence bands",Clean white with thin rules,"Overstated certainty, fake precision, sensitive field rates","“Military T&E reliability report slide, reliability growth curve with confidence bands, findings cards and actions footer, formal typography, MTBF/MTTR bars, clean ruled background, crisp readable, avoid overstated certainty and sensitive field rates.”"
Military - T & E,"Contract Deliverables Tracker (CDRL-style, Generic)",#FFFFFF #111827 #1D4ED8 #16A34A #F59E0B,"Table-forward sans, mono IDs","Document, calendar, checklist, tag","Deliverables table, due-date strip, exceptions lane","On-time bars, aging trend, status tiles",Light ruled paper,"Real contract numbers, vendor names/logos","“Military deliverables tracker slide, table-forward deliverables list with due-date strip and exceptions lane, mono placeholders, on-time bars and aging trend with status tiles, clean ruled background, crisp readable, no real contract numbers or vendor logos.”"
Military - T & E,Anomaly Pareto and Root Cause Wall,#111827 #F8FAFC #CBD5E1 #F59E0B #DC2626 #16A34A,"Formal sans, defect-triage labels","Bug tag, wrench, fishbone, checklist","Pareto chart hero, root-cause tree panel, actions tracker","Pareto bars, fishbone diagram, action tracker table",Clean white with thin rules,"Blame language, naming individuals, real program identifiers","“Military T&E anomaly triage slide, Pareto hero chart with root-cause tree panel and action tracker, formal typography, amber/red highlights with green closure status, clean ruled background, crisp readable, avoid blame language and real program identifiers.”"
Military - T & E,Power and Thermal Characterization (Bench Test),#111827 #F8FAFC #60A5FA #F97316 #16A34A,"Technical sans, numeric callouts","Thermometer, bolt, fan, gauge","Dual plots: power and temp, test conditions card","Power vs time, temp vs time, margin bars",Subtle lab-grid,"Real device specs for sensitive gear, proprietary limits","“Military T&E power/thermal slide, dual plots for power and temperature with conditions card, technical typography, margin bars, blue/orange accents with green pass status, subtle lab-grid background, crisp readable, avoid sensitive device specs.”"
Military - T & E,TRL Ladder and Maturation Roadmap,#FFFFFF #111827 #2563EB #22C55E #F59E0B,"Executive sans, milestone labels","Ladder rungs, flag markers, gate icons","TRL ladder center, milestones strip, evidence cards","TRL progress bars, milestone timeline, readiness tiles",Clean white with thin rules,"Misrepresenting TRL, claiming certifications","“Military R&D TRL roadmap slide, TRL ladder with evidence cards and milestone strip, clean typography, progress bars and timeline with readiness tiles, blue accents with green progress and amber gaps, thin-rule background, crisp readable, avoid misrepresenting TRL or certifications.”"
Military - T & E,Uptime and Capacity Board (Enterprise NOC),#05070A #111827 #22D3EE #3B82F6 #22C55E #EF4444,"Condensed UI sans, numeric emphasis","Server, link lines, alert bell, gauge","KPI strip, service tiles, incident lane, capacity panels","Uptime trend, capacity bars, error budget gauge, incident timeline",Dark grid with subtle scan texture,"Real service names, real incidents, vendor branding","“Enterprise uptime/capacity dashboard slide, dark NOC layout with KPI strip and service tiles, incident lane and capacity panels, uptime trend and capacity bars with error budget gauge and incident timeline, cyan/blue accents with status colors, subtle scan-grid background, crisp readable, no real service names or vendor branding.”"
Military - T & E,Requirements Traceability Matrix (RTM) Workbook,#FAFAF9 #111827 #CBD5E1 #1D4ED8 #16A34A,"Table-forward sans, mono IDs","Matrix grid, document tabs, checkmarks","RTM table center, coverage summary tiles, exceptions lane","Coverage heatmap, completion bars, trend line",Light ruled paper,"Tiny unreadable tables, real requirement IDs","“Military RTM workbook slide, table-forward traceability matrix with mono placeholders, coverage heatmap and completion bars with trend line, clean ruled background, crisp readable, avoid tiny tables and real requirement IDs.”"
Military - T & E,Performance Envelope Board (Limits and Margins),#0B1220 #F8FAFC #60A5FA #F97316 #A3A3A3,"Technical sans, clear axis labels","Envelope arc, boundary lines, gauge, warning","Large envelope plot center, margin callouts, assumptions box","Simplified envelope plot, margin bars, limit table",Subtle micro-grid,"Weapon performance specifics, proprietary parameters, “classified” markings","“Military T&E envelope board slide, central simplified performance envelope plot with margin callouts and assumptions box, technical typography, margin bars and limit tables, blue and orange accents on deep slate, subtle micro-grid background, crisp readable vector, avoid sensitive performance specifics and any classified markings.”"
Military - T & E,Range Instrumentation Layout (Generic),#111827 #F8FAFC #60A5FA #A3A3A3 #F59E0B,"Map-label sans, legend-heavy","Sensor node, antenna, marker pin, grid","Layout map placeholder center, instrumentation legend, coverage tiles","Coverage heatmap, node count bars, timeline strip",Faint map grid,"Real facility layouts, coordinate grids tied to real sites","“Military T&E instrumentation layout slide, generic map placeholder with sensor nodes and legend, coverage heatmap and node-count bars with timeline strip, map-label typography, subtle map-grid background, crisp vector, avoid real facilities or coordinates.”"
Military - T & E,Tech Demo Day AAR (Demo to Findings),#FFF7ED #111827 #2563EB #F59E0B #C2410C,Sans + typewriter note accents,"Replay arrow, tag cards, checklist","Demo storyboard, metrics strip, lessons cards, actions footer","Before/after bars, demo KPI tiles, timeline",Paper grain with stamp marks,"Real program names, sensitive demo details","“Military tech demo AAR slide, storyboard layout with metrics strip and lessons cards, typewriter note accents, before/after bars and KPI tiles with timeline, subtle paper grain and stamp marks, crisp readable, avoid real program names and sensitive demo details.”"
Military - T & E,Sensor Calibration Sheet (Metrology Clean),#FAFAF9 #111827 #6B7280 #0F766E #2563EB,"Scientific sans, table-forward","Ruler, target, waveform, calibration tag","Calibration steps, table of offsets, acceptance band plot","Histogram, deviation plot, acceptance bands",Light micro-grid,"Fake calibration values, proprietary procedures","“Military T&E calibration sheet slide, table-forward layout with calibration steps and acceptance band plot, scientific typography, deviation histogram and acceptance bands, subtle micro-grid background, crisp readable, avoid fake exact values and proprietary procedures.”"
Military - T & E,Test Point Card Wall (Planned vs Executed),#0B1220 #F8FAFC #22C55E #60A5FA #F59E0B,"Clean sans, card-based","Numbered tags, flag markers, checklist","Grid of test-point cards, status strip, notes footer","Planned vs executed bars, status heatmap, burn-down",Subtle dot grid,"Real mission profiles, real schedules, identifiers","“Military T&E test-point wall slide, card grid for planned vs executed with status strip, clean typography, progress bars and status heatmap plus burndown, blue accents with green/amber status, subtle dot-grid background, crisp readable, no real schedules or identifiers.”"
Military - T & E,Digital Twin Verification Dashboard,#0B1220 #F8FAFC #22D3EE #8B5CF6 #22C55E,"Modern sans, comparison labels","Twin silhouette, sync arrows, sensor nodes","Split: model vs measured, residuals panel, parameter cards","Residual trend, parameter bars, confidence bands",Faint wireframe mesh,"Claiming exact fidelity, proprietary models, real test data","“Military T&E digital twin verification slide, split model vs measured with residuals panel, modern typography, residual trend and parameter bars with confidence bands, cyan/violet accents with green status, faint mesh background, crisp readable, avoid proprietary models and real data.”"
Military - T & E,SIL Pipeline Validation (Software-in-the-Loop),#05070A #111827 #22C55E #60A5FA #F59E0B,"Mono-friendly sans, build labels","Pipeline, code brackets, test flask, checkmark","Left-to-right stages, gate cards, results strip","Pass-rate bars, regression trend, coverage tiles",Dark terminal texture,"Tool logos, real repo names, exploit content","“Military T&E SIL validation slide, pipeline stages with test gates and results strip, mono-friendly labels, pass-rate bars and regression trend with coverage tiles, green/blue accents with amber warnings, subtle terminal background, crisp readable, no tool logos or real repo names.”"
Military - T & E,Materials Lab Microstructure (Failure Analysis Lite),#FAFAF9 #111827 #6B7280 #0F766E #B91C1C,"Figure-caption style, scientific","Microscope, lattice, crack marker, specimen tag","Figure panels + captions, findings summary strip","Histogram, scatter, simplified phase chart",Paper-white + subtle grain,"Definitive causal claims, real proprietary alloys","“Military T&E materials microstructure slide, microscopy figure panels with captions and findings strip, scientific typography, histograms and scatter with simplified phase chart, teal accents with restrained red highlights, subtle grain background, crisp and credible, avoid definitive causal claims and proprietary alloy details.”"
Military - T & E,Rapid Prototype Sprint Room (Build-Measure-Learn),#0B1220 #F8FAFC #22D3EE #22C55E #F59E0B,"Modern sans, workshop labels","Sticky note card, wrench, rocket (generic), stopwatch","Sprint roadmap lane, experiment cards, blockers column","Sprint burndown, velocity bars, risk burn-down",Subtle dot grid,"Tool logos, real program names, cluttered notes","“Military rapid prototyping sprint slide, sprint roadmap with experiment cards and blockers column, modern typography, burndown and velocity charts plus risk burndown, cyan/green accents with amber risks, subtle dot-grid background, crisp readable, no tool logos or real program names.”"
Military - T & E,Environmental Qualification Matrix (Qual Gates),#FAFAF9 #111827 #334155 #2563EB #F97316,"Manual-style sans, test-condition labels","Thermometer, vibration, droplet, checklist","Qualification matrix center, test sequence lane, exceptions box","Pass/fail matrix, cycle-time bars, defect trend",Light paper grain + thin rules,"Specific standard claims, proprietary limits, official marks","“Military T&E environmental qualification slide, qualification matrix with test sequence lane and exceptions box, clean manual typography, pass/fail heatmap and cycle-time bars with defect trend, light ruled paper background, crisp readable, avoid proprietary limits and official marks.”"
Military - T & E,Verification Cross-Reference (VCRM) Cards,#FFFFFF #111827 #2563EB #F59E0B #94A3B8,"Clean sans, card labels","Test check, doc, lab flask, tag","Requirement cards, verification method tags, status strip","Status tiles, method distribution bars, timeline",Minimal white + thin dividers,"Overloading with text, real program identifiers","“Military VCRM slide, requirement cards with verification method tags and status strip, clean typography, method distribution bars and timeline, blue accents with amber gaps, minimal background, crisp readable, no real program identifiers.”"
Military - T & E,Design Review Pack (SRR/PDR/CDR) Minimal,#0A2540 #F8FAFC #334155 #38BDF8 #D4AF37,"Executive-technical sans, strict hierarchy","Blocks, checklist, schedule, risk tag","Agenda rail, 3-panel content, decision box, actions footer","Margin bars, risk heatmap, milestone timeline",White with faint diagonal watermark,"Official seals, contractor logos, classified banners","“Military design review slide theme, structured agenda rail with decision box, conservative charts (risk heatmap, margin bars, milestone timeline), navy/steel palette with sky-blue accents and restrained gold, crisp vector, no logos, seals, or classified markings.”"
Military - T & E,Comms Architecture Standards Board (CIO),#0B1220 #F8FAFC #3B82F6 #22D3EE #A3A3A3,"Executive-technical sans, standards labels","Layers, network nodes, checklist, policy tags","Standards stack, reference architectures row, decision log","Compliance bars, dependency map, timeline",Subtle micro-grid,"Vendor logos, real network diagrams, sensitive enterprise details","“Military CIO standards slide, layered standards stack with reference architecture row and decision log, clean typography, compliance bars and dependency map with timeline, blue/cyan accents on deep slate, subtle micro-grid background, crisp readable, no vendor logos or real enterprise diagrams.”"
Military - T & E,EMC/EMI Chamber Summary (Sanitized),#0B1220 #F8FAFC #38BDF8 #F59E0B #94A3B8,"Technical sans, compact legends","Waveform, shield, chamber outline, warning","Test bands plot center, limit lines, findings cards","Spectrum plot (generic), exceedance bars, pass/fail tiles",Dark RF trace texture,"Real frequency data, sensitive emission signatures","“Military T&E EMC/EMI summary slide, sanitized spectrum plot with generic limit lines, findings cards and pass/fail tiles, technical typography, exceedance bars, subtle RF texture background, crisp readable, exclude real frequency data and signatures.”"
Military - T & E,HIL Lab Integration Map (Hardware-in-the-Loop),#0B1220 #F8FAFC #22D3EE #3B82F6 #F97316,"Technical sans, interface labels","Rack, cable, simulator block, arrows","Block diagram center, signal path lane, latency panel","Latency line, interface count bars, pass-rate tiles",Subtle circuit grid,"Real rack inventories, proprietary interfaces, vendor logos","“Military T&E HIL lab slide, clean block diagram with signal path lane and latency panel, technical typography, latency trend and interface bars with pass-rate tiles, cyan/blue accents with orange highlights, subtle circuit background, crisp vector, no vendor logos or real interfaces.”"
Military - T & E,Service Catalog and Platform Offerings (Enterprise IT),#FFFFFF #111827 #2563EB #22C55E #CBD5E1,"Modern sans, catalog-friendly","Catalog tiles, cloud, shield, support headset","Service cards grid, tier badges, request flow strip","Adoption bars, request volume trend, SLA tiles",Clean white with thin rules,"Provider logos, real org/service names, endorsements","“Military enterprise service catalog slide, service card grid with tier badges and request flow strip, clean typography, adoption bars and request volume trend with SLA tiles, white background with thin dividers, crisp readable, no provider logos or real org names.”"
